id;start_date;end_date;language
1;2019-06-08T13:22:09;2019-06-08T06:30:27;FRENCH
2;2019-06-08T14:52:15;2019-06-07T23:58:25;FRENCH
3;2019-06-08T10:24:19;2019-06-08T01:48:20;FRENCH
4;2019-06-07T23:36:11;2019-06-08T07:03:12;FRENCH
5;2019-06-08T08:34:50;2019-06-08T13:18:59;FRENCH
6;2019-06-08T14:51:50;2019-06-08T16:08:47;FRENCH
7;2019-06-08T00:14:10;2019-06-08T12:54:57;FRENCH
8;2019-06-07T21:45:29;2019-06-08T05:45:38;FRENCH
9;2019-06-08T07:33:35;2019-06-08T15:58:13;FRENCH
10;2019-06-08T10:51:45;2019-06-08T08:07:59;FRENCH
